id,title,author,alt_titles,isbn13,publisher,year,edition
47,The Lord of the Rings,J.R.R. Tolkien,LOTR,9780618640157,HarperCollins,1968,One-volume omnibus ed.
48,The Fellowship of the Ring,J.R.R. Tolkien,,9780547928210,George Allen & Unwin,1954,1st ed.
49,The Two Towers,J.R.R. Tolkien,,9780547928203,George Allen & Unwin,1954,1st ed.
50,The Return of the King,J.R.R. Tolkien,,9780547928197,George Allen & Unwin,1955,1st ed.
51,The Hitchhiker's Guide to the Galaxy: The Complete Trilogy in Five Parts,Douglas Adams,The Ultimate Hitchhiker's Guide,9780517149256,Wings Books,1989,Omnibus ed.
52,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,9780345391803,Pan Books,1979,1st ed.
53,The Restaurant at the End of the Universe,Douglas Adams,,9780345391827,Pan Books,1980,1st ed.
54,"Life, the Universe and Everything",Douglas Adams,,9780345391827,Pan Books,1982,1st ed.
55,"So Long, and Thanks for All the Fish",Douglas Adams,,9780345391827,Pan Books,1984,1st ed.
56,Mostly Harmless,Douglas Adams,,9780345391824,Heinemann,1992,1st ed.
57,His Dark Materials,Philip Pullman,,9780307269981,Everyman's Library,2011,Omnibus ed.
58,The Subtle Knife,Philip Pullman,,9780590112906,Scholastic Point,1997,1st ed.
59,The Amber Spyglass,Philip Pullman,,9780590542434,Scholastic Point,2000,1st ed.
60,Room,Emma Donoghue,,9780316098335,"Little, Brown and Company",2010,1st ed.
61,A Room with a View,E.M. Forster,,9780486280500,Edward Arnold,1908,1st ed.
62,A Room of One's Own,Virginia Woolf,,9780156787338,Hogarth Press,1929,1st ed.
63,It,Stephen King,,9780670813025,Viking,1986,1st ed.
64,Us,David Nicholls,,9781444755280,Hodder & Stoughton,2014,1st ed.
65,Kim,Rudyard Kipling,,9780141441459,Macmillan,1901,1st ed.
66,The Circle,Dave Eggers,,9780385351393,Alfred A. Knopf,2013,1st ed.
67,Circle of Friends,Maeve Binchy,,9780440211265,Delacorte Press,1990,1st ed.
68,Gone Girl,Gillian Flynn,,9780307588364,Crown Publishing,2012,1st ed.
69,Gone with the Wind,Margaret Mitchell,,9781451635621,Macmillan Publishers,1936,1st ed.
70,Harry Potter and the Chamber of Secrets,"Rowling, J.K.",,9780747538493,Bloomsbury,1998,UK 1st ed.
71,Animal Farm,Eric Arthur Blair,,9780451526342,Secker & Warburg,1945,1st ed.
72,1984,George Orwell,Nineteen Eighty-Four,9780451524935,Secker & Warburg,1949,1st ed.
73,A Brief History of Time,Stephen Hawking,,9780553176988,Bantam Books,1988,1st ed.
74,A Brief History of Time: From the Big Bang to Black Holes,Stephen W. Hawking,A Brief History of Time,9780553380163,Bantam Books,1998,Updated & Expanded 10th Anniversary ed.
75,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Sapiens,9780062316097,Harvill Secker,2014,English translation
76,Sapiens,Y.N. Harari,Sapiens: A Brief History of Humankind,,Dvir,2011,Hebrew original (Kitzur Toldot HaEnoshut)
77,To Kill a Mockingbird,Harper Lee,,9780061120084,J.B. Lippincott & Co.,1960,1st ed.
78,Beloved,Toni Morrison,,9781400033416,Alfred A. Knopf,1987,1st ed.
79,The Catcher in the Rye,J.D. Salinger,,9780316769488,"Little, Brown and Company",1951,1st ed.
80,Slaughterhouse-Five,Kurt Vonnegut,Slaughterhouse Five,9780385333849,Delacorte Press,1969,1st ed.
81,Brave New World,Aldous Huxley,,9780060850524,Chatto & Windus,1932,1st ed.
82,Fahrenheit 451,Ray Bradbury,,9781451673319,Ballantine Books,1953,1st ed.
83,Lolita,Vladimir Nabokov,,9780679723165,Olympia Press,1955,1st ed.
84,The Grapes of Wrath,John Steinbeck,,9780143039433,The Viking Press,1939,1st ed.
85,Of Mice and Men,John Steinbeck,,9780140177398,Covici Friede,1937,1st ed.
86,Wuthering Heights,Emily Brontë,,9780141439556,Thomas Cautley Newby,1847,1st ed.
87,Great Expectations,Charles Dickens,,9780141439563,All the Year Round,1861,Serialized ed.
88,A Tale of Two Cities,Charles Dickens,,9780141439600,Chapman & Hall,1859,1st ed.
89,Oliver Twist,Charles Dickens,,9780141439747,Richard Bentley,1838,Serialized ed.
90,Anna Karenina,Leo Tolstoy,,9780143035008,The Russian Messenger,1878,1st ed.
91,Don Quixote,Miguel de Cervantes,El ingenioso hidalgo don Quijote de la Mancha,9780060934347,Ecco,1605,English translation
92,The Odyssey,Homer,,9780140268867,Penguin Classics,-800,Translated ed. (Fagles)
93,The Divine Comedy,Dante Alighieri,La Divina Commedia,9780142437223,Penguin Classics,1320,Translated ed.
94,Dune,Frank Herbert,,9780441172719,Chilton Books,1965,1st ed.
95,Neuromancer,William Gibson,,9780441569595,Ace Books,1984,1st ed.
96,Snow Crash,Neal Stephenson,,9780553380958,Bantam Spectra,1992,1st ed.
97,The Left Hand of Darkness,Ursula K. Le Guin,,9780441478125,Ace Books,1969,1st ed.
98,Ender's Game,Orson Scott Card,,9780812550702,Tor Books,1985,1st ed.
99,The Hunger Games,Suzanne Collins,,9780439023528,Scholastic Press,2008,1st ed.
100,American Gods,Neil Gaiman,,9780062472106,William Morrow,2001,1st ed.
101,Good Omens,Terry Pratchett and Neil Gaiman,,9780060853983,Victor Gollancz,1990,1st ed.
102,The Name of the Wind,Patrick Rothfuss,,9780756404741,DAW Books,2007,1st ed.
103,A Game of Thrones,George R.R. Martin,,9780553103540,Bantam Spectra,1996,1st ed.
104,The Da Vinci Code,Dan Brown,,9780307474278,Doubleday,2003,1st ed.
105,Angels & Demons,Dan Brown,,9781416524793,Pocket Books,2000,1st ed.
106,Murder on the Orient Express,Agatha Christie,,9780062073495,Collins Crime Club,1934,1st ed.
107,The Hound of the Baskervilles,Arthur Conan Doyle,,9780486282145,George Newnes Ltd,1902,1st ed.
108,Rebecca,Daphne du Maurier,,9780380730407,Victor Gollancz,1938,1st ed.
109,The Bell Jar,Sylvia Plath,,9780061148514,William Heinemann,1963,1st ed. (as Victoria Lucas)
110,Educated,Tara Westover,Educated: A Memoir,9780399590504,Random House,2018,1st ed.
111,"Thinking, Fast and Slow",Daniel Kahneman,,9780374275631,"Farrar, Straus and Giroux",2011,1st ed.
112,The Immortal Life of Henrietta Lacks,Rebecca Skloot,,9781400052189,Crown Publishing,2010,1st ed.
113,Into the Wild,Jon Krakauer,,9780385486804,Villard,1996,1st ed.
114,Cosmos,Carl Sagan,,9780345539434,Random House,1980,1st ed.
115,A Short History of Nearly Everything,Bill Bryson,,9780767908184,Broadway Books,2003,1st ed.
116,Freakonomics,Steven D. Levitt and Stephen J. Dubner,,9780060731335,William Morrow,2005,1st ed.
117,The Power of Habit,Charles Duhigg,,9781400069286,Random House,2012,1st ed.
118,Becoming,Michelle Obama,,9781524763138,Crown Publishing,2018,1st ed.
119,Norwegian Wood,Haruki Murakami,ノルウェイの森,9780375704024,Vintage International,1987,English translation
120,Kafka on the Shore,Haruki Murakami,海辺のカフカ,9781400079278,Knopf,2002,English translation
121,Steve Jobs,Walter Isaacson,,9781451648539,Simon & Schuster,2011,1st ed.
122,Where the Crawdads Sing,Delia Owens,,9780735219090,G.P. Putnam's Sons,2018,1st ed.
123,The Midnight Library,Matt Haig,,9780525559474,Canongate Books,2020,1st ed.
124,Project Hail Mary,Andy Weir,,9780593135204,Ballantine Books,2021,1st ed.
125,The Martian,Andy Weir,,9780553418026,Crown Publishing,2014,1st ed.
126,Circe,Madeline Miller,,9780316556347,"Little, Brown and Company",2018,1st ed.
127,The Song of Achilles,Madeline Miller,,9780062060624,Ecco,2011,1st ed.
128,Charlotte's Web,E.B. White,,9780064400558,Harper & Brothers,1952,1st ed.
129,The Very Hungry Caterpillar,Eric Carle,,9780399226908,World Publishing Company,1969,1st ed.
130,Where the Wild Things Are,Maurice Sendak,,9780064431781,Harper & Row,1963,1st ed.
